YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM,DIST_DIRECT_KM,DIST_ACHIEVED_KM
2026,1,JAN,2026-01-01,FAB CE (SES RP2),FAB (FIR),FTFM,2236102,2221435.32,2179872.28
2026,1,JAN,2026-01-01,FAB CE (SES RP2),FAB (FIR),SFR,2141831,2128459.16,2089875.7
2026,1,JAN,2026-01-01,FABEC,FAB (FIR),CPF,6906340,6828500.39,6737462.21
2026,1,JAN,2026-01-01,FABEC,FAB (FIR),FTFM,6972288,6783781.55,6663585.88
2026,1,JAN,2026-01-01,FABEC,FAB (FIR),SFR,6835630,6661328.58,6545851.3
2026,1,JAN,2026-01-01,Finland,State (FIR),CPF,120735,120531.47,117026.75
2026,1,JAN,2026-01-01,Finland,State (FIR),FTFM,120290,119841.36,116115.81
2026,1,JAN,2026-01-01,Finland,State (FIR),SFR,115967,115543.3,111876.24
2026,1,JAN,2026-01-01,France,State (FIR),CPF,3900250,3857797.11,3796244.43
2026,1,JAN,2026-01-01,France,State (FIR),FTFM,3915878,3809907.44,3731237.49
2026,1,JAN,2026-01-01,France,State (FIR),SFR,3836731,3738497.2800000003,3662377.46
2026,1,JAN,2026-01-01,Georgia,State (FIR),CPF,196196,195283.13,184940.86000000002
2026,1,JAN,2026-01-01,Georgia,State (FIR),FTFM,190235,189041.85,179885.48
2026,1,JAN,2026-01-01,Georgia,State (FIR),SFR,183319,182365.42,173916.57
2026,1,JAN,2026-01-01,Germany,State (FIR),CPF,1990716,1981262.3,1954092.12
2026,1,JAN,2026-01-01,Germany,State (FIR),FTFM,2001026,1964753.51,1924052.4300000002
2026,1,JAN,2026-01-01,Germany,State (FIR),SFR,1947771,1914859.15,1876587.9500000002
2026,1,JAN,2026-01-01,Greece,State (FIR),CPF,1110983,1108229.58,1096875.6
2026,1,JAN,2026-01-01,Greece,State (FIR),FTFM,1109380,1101950.73,1088114.35
2026,1,JAN,2026-01-01,Greece,State (FIR),SFR,1054363,1048470.53,1036162.54
2026,1,JAN,2026-01-01,Hungary,State (FIR),CPF,538530,537813.96,528761.96
2026,1,JAN,2026-01-01,Hungary,State (FIR),FTFM,538637,536466.4400000001,525374.4400000001
2026,1,JAN,2026-01-01,Hungary,State (FIR),SFR,511260,509263.47000000003,498900.32
2026,1,JAN,2026-01-01,Ireland,State (FIR),CPF,399086,398737.19,394313.07
2026,1,JAN,2026-01-01,Ireland,State (FIR),FTFM,359880,358873.69,353617.99
2026,1,JAN,2026-01-01,Ireland,State (FIR),SFR,314647,314102.08,309917.39
2026,1,JAN,2026-01-01,Italy,State (FIR),CPF,1815520,1803427.19,1773519.31
2026,1,JAN,2026-01-01,Italy,State (FIR),FTFM,1824361,1798060.28,1758190.83
2026,1,JAN,2026-01-01,Italy,State (FIR),SFR,1824408,1798728.78,1760637.6099999999
2026,1,JAN,2026-01-01,Latvia,State (FIR),CPF,92036,91731.38,85494.91
2026,1,JAN,2026-01-01,Latvia,State (FIR),FTFM,93049,92618.39,86315.15000000001
2026,1,JAN,2026-01-01,Latvia,State (FIR),SFR,86281,85859.34,80427.6
2026,1,JAN,2026-01-01,Lithuania,State (FIR),CPF,74451,74303.31,66684.09
2026,1,JAN,2026-01-01,Lithuania,State (FIR),FTFM,76289,76062.95,67367.88
2026,1,JAN,2026-01-01,Lithuania,State (FIR),SFR,74119,73861.54000000001,66036.6
2026,1,JAN,2026-01-01,Malta,State (FIR),CPF,173000,172835.67,170811.22
2026,1,JAN,2026-01-01,Malta,State (FIR),FTFM,167270,167050.88,165051.26
2026,1,JAN,2026-01-01,Malta,State (FIR),SFR,152024,151928.52,150205.06
2026,1,JAN,2026-01-01,Moldova,State (FIR),CPF,2484,2484.68,2184.78
2026,1,JAN,2026-01-01,Moldova,State (FIR),FTFM,1292,1283.31,1076.71
2026,1,JAN,2026-01-01,Moldova,State (FIR),SFR,1309,1299.3600000000001,1089.95
2026,1,JAN,2026-01-01,Morocco,State (FIR),CPF,1000247,995012.31,982261.35
2026,1,JAN,2026-01-01,Morocco,State (FIR),FTFM,1004555,993383.12,979520.54
2026,1,JAN,2026-01-01,Morocco,State (FIR),SFR,981399,971299.7000000001,958032.21
2026,1,JAN,2026-01-01,NEFAB,FAB (FIR),CPF,644415,635856.27,624369.5700000001
2026,1,JAN,2026-01-01,NEFAB,FAB (FIR),FTFM,646155,636782.88,623338.3200000001
2026,1,JAN,2026-01-01,NEFAB,FAB (FIR),SFR,606507,597563.84,585674.58
2026,1,JAN,2026-01-01,Netherlands,State (FIR),CPF,394659,390657.79,382971.06
2026,1,JAN,2026-01-01,Netherlands,State (FIR),FTFM,391659,386302.10000000003,375982.82
2026,1,JAN,2026-01-01,Netherlands,State (FIR),SFR,390292,385554.14,375747.98
2026,1,JAN,2026-01-01,North Macedonia,State (FIR),CPF,69885,69817.84,69003.6
2026,1,JAN,2026-01-01,North Macedonia,State (FIR),FTFM,70299,70282.55,69016.59
2026,1,JAN,2026-01-01,North Macedonia,State (FIR),SFR,66941,66936.76,65786.56
2026,1,JAN,2026-01-01,Norway,State (FIR),CPF,340917,339214.82,336082.03
2026,1,JAN,2026-01-01,Norway,State (FIR),FTFM,344821,342144.36,337971.5
2026,1,JAN,2026-01-01,Norway,State (FIR),SFR,321712,319276.21,315466.17
2026,1,JAN,2026-01-01,Poland,State (FIR),CPF,572077,569429.88,544651.4400000001
2026,1,JAN,2026-01-01,Poland,State (FIR),FTFM,580753,572062.75,541512.4
2026,1,JAN,2026-01-01,Poland,State (FIR),SFR,561512,554254.34,526363.15
2026,1,JAN,2026-01-01,Portugal (Continental),State (FIR),CPF,825059,822961.17,811903.72
2026,1,JAN,2026-01-01,Portugal (Continental),State (FIR),FTFM,821553,816023.35,802792.59
2026,1,JAN,2026-01-01,Portugal (Continental),State (FIR),SFR,796112,791413.34,779585.75
2026,1,JAN,2026-01-01,Romania,State (FIR),CPF,869252,867761.0700000001,840670.9400000001
2026,1,JAN,2026-01-01,Romania,State (FIR),FTFM,859935,858409.12,828827.86
2026,1,JAN,2026-01-01,Romania,State (FIR),SFR,810722,809394.41,781459.31
2026,1,JAN,2026-01-01,SES Area (RP2),Area (FIR),CPF,21947455,21596315.12,21392620.44
2026,1,JAN,2026-01-01,SES Area (RP2),Area (FIR),FTFM,21929734,21348436.69,21091598.96
2026,1,JAN,2026-01-01,SES Area (RP2),Area (FIR),SFR,21318713,20780970.53,20536787.47
2026,1,JAN,2026-01-01,SES Area (RP3),Area (FIR),CPF,20374801,20070136.26,19871894.09
2026,1,JAN,2026-01-01,SES Area (RP3),Area (FIR),FTFM,20394871,19884021.11,19636078.78
2026,1,JAN,2026-01-01,SES Area (RP3),Area (FIR),SFR,19844528,19369946.29,19134887.37
2026,1,JAN,2026-01-01,SW FAB,FAB (FIR),CPF,3781680,3736987.5,3686077.8
2026,1,JAN,2026-01-01,SW FAB,FAB (FIR),FTFM,3794798,3718703.37,3658244.89
2026,1,JAN,2026-01-01,SW FAB,FAB (FIR),SFR,3718118,3647345.14,3589299.19
2026,1,JAN,2026-01-01,Serbia and Montenegro,State (FIR),CPF,450811,450169.62,444623.85000000003
2026,1,JAN,2026-01-01,Serbia and Montenegro,State (FIR),FTFM,448396,447278.81,439544.62
2026,1,JAN,2026-01-01,Serbia and Montenegro,State (FIR),SFR,434599,433641.71,426245.7
2026,1,JAN,2026-01-01,Slovakia,State (FIR),CPF,162520,162161.01,155752.57
2026,1,JAN,2026-01-01,Slovakia,State (FIR),FTFM,162332,161732.53,153515.54
2026,1,JAN,2026-01-01,Slovakia,State (FIR),SFR,156540,155777.02,148591.29
2026,1,JAN,2026-01-01,Slovenia,State (FIR),CPF,119025,118948.1,117565.43000000001
2026,1,JAN,2026-01-01,Slovenia,State (FIR),FTFM,118924,118860.16,117154.54000000001
2026,1,JAN,2026-01-01,Slovenia,State (FIR),SFR,113963,113931.31,112291.57
2026,1,JAN,2026-01-01,Spain,State (FIR),CPF,2956089,2921875.1,2873708.52
2026,1,JAN,2026-01-01,Spain,State (FIR),FTFM,2971971,2911902.45,2854290.05
2026,1,JAN,2026-01-01,Spain,State (FIR),SFR,2916924,2860352.14,2804771.27
2026,1,JAN,2026-01-01,Spain (Canarias),State (FIR),CPF,394772,389504.36,382389.58
2026,1,JAN,2026-01-01,Spain (Canarias),State (FIR),FTFM,391806,386902.81,378004.36
2026,1,JAN,2026-01-01,Spain (Canarias),State (FIR),SFR,360093,356215.61,347400.44
2026,1,JAN,2026-01-01,Spain (Continental),State (FIR),CPF,2561317,2532370.74,2491318.94
2026,1,JAN,2026-01-01,Spain (Continental),State (FIR),FTFM,2580165,2524999.64,2476285.68
2026,1,JAN,2026-01-01,Spain (Continental),State (FIR),SFR,2556831,2504136.52,2457370.83
2026,1,JAN,2026-01-01,Sweden,State (FIR),CPF,457976,451875.27,445689.87
2026,1,JAN,2026-01-01,Sweden,State (FIR),FTFM,448323,445263.83,436817.71
2026,1,JAN,2026-01-01,Sweden,State (FIR),SFR,440335,437557.72000000003,430125.69
2026,1,JAN,2026-01-01,Switzerland,State (FIR),CPF,232366,231081.83000000002,224863.88
2026,1,JAN,2026-01-01,Switzerland,State (FIR),FTFM,242686,239030,230223.54
2026,1,JAN,2026-01-01,Switzerland,State (FIR),SFR,248333,245060.15,236359.33000000002
2026,1,JAN,2026-01-01,Türkiye,State (FIR),CPF,2576341,2533405.36,2469274.23
2026,1,JAN,2026-01-01,Türkiye,State (FIR),FTFM,2768144,2659160.76,2571409.99
2026,1,JAN,2026-01-01,Türkiye,State (FIR),SFR,2577750,2480191.82,2398951.67
2026,1,JAN,2026-01-01,UK (Continental),State (FIR),CPF,1568534,1548566.1600000001,1516672.93
2026,1,JAN,2026-01-01,UK (Continental),State (FIR),FTFM,1524469,1486397.87,1445367.95
2026,1,JAN,2026-01-01,UK (Continental),State (FIR),SFR,1461024,1427598.8,1389143.54
2026,1,JAN,2026-01-01,UK-Ireland FAB,FAB (FIR),CPF,1967405,1943901.3599999999,1910766.06
2026,1,JAN,2026-01-01,UK-Ireland FAB,FAB (FIR),FTFM,1883230,1839503.51,1797886.26
